Address,City,Neighborhood,Market,Zip Code,Space type,Total Space Available,Lease Rate
"1518 SE 44th, Oklahoma City, OK 73129","Oklahoma City, OK",Shallow Brook,Oklahoma City,"
                73129
            ",Retail - Street Retail," 1,500 Sqft",$10/Sqft/Year
"10866 Wilshire Blvd, Westwood, CA 90024","Westwood, CA",Westwood,Los Angeles,"
                90024
            ",Office - General Office," 198,750 Sqft",Contact for pricing
"850 W Bartlett Rd, Bartlett, IL 60103","Bartlett, IL",Regency Oaks,Chicago,"
                60103
            ",Office - General Office," 3,653 Sqft",$18/Sqft/Year
"379 Grandview Ave, Waterbury, CT 06708","Waterbury, CT",Bunker Hill,Bridgeport New Haven,"
                06708
            ",Retail," 1,204 Sqft",$1.5/Sqft/Year
"1801 North Harlem Avenue, Chicago, IL 60707","Chicago, IL",Elmwood Park,Chicago,"
                60707
            ",Retail," 6,561 Sqft",$24/Sqft/Year
"1225 Campbell, Bremerton, WA 98310","Bremerton, WA",Sheridan Park,Seattle,"
                98310
            ",Office - General Office," 8,342 Sqft",$14 - $18/Sqft/Year
"100 East Main Street, Salisbury, MD 21801","Salisbury, MD","
                21801
            ",,,Office - General Office," 45,000 Sqft",$325/Month
"3110 North Central Avenue, Phoenix, AZ 85012","Phoenix, AZ",Encanto Village,Phoenix,"
                85012
            ",Office - General Office," 275,000 Sqft",$32/Sqft/Year
"4900 Ritter Road, Mechanicsburg, PA 17055","Mechanicsburg, PA",Rossmoyne,Harrisburg,"
                17055
            ",Office - General Office," 56,823 Sqft",$18.75/Sqft/Year
"1300 Strassner Drive, Saint Louis, MO 63144","Saint Louis, MO",Brentwood,St Louis,"
                63144
            ",Office - General Office," 20,125 Sqft",$12/Sqft/Year
"5701 1st Avenue South, Saint Petersburg, FL 33707","Saint Petersburg, FL",Westminster Heights,Tampa St Petersburg Clearwater,"
                33707
            ",Office - General Office," 4,050 Sqft",$16.5/Sqft/Year
"4505 E County Rd 45, A & B, Midland, TX 79705","Midland, TX",Jadan Kate,Midland Odessa,"
                79705
            ",Industrial - Warehouse/Distribution," 5,000 Sqft","$7,000/Month"
"1703 E County Rd 153, Midland, TX 79706","Midland, TX",Ridgeheights,Midland Odessa,"
                79706
            ",Industrial - Warehouse/Distribution," 7,500 Sqft","$10,500/Month"
"241 Obrien Road, Fern Park, FL 32730","Fern Park, FL",Maitland,,"
                32730
            ",Office - General Office," 8,168 Sqft",$14/Sqft/Year
"2 Bedford Farms Drive, Bedford, NH 03110","Bedford, NH",Greater Bedford,Boston,"
                03110
            ",Office," 45,623 Sqft",$9 - $11/Sqft/Year
"5020 Riverside, Irving, TX 75039","Irving, TX",Las Colinas,Dallas Fort Worth,"
                75039
            ",Office," 90,425 Sqft",$19/Sqft/Year
"5908 Columbia Ave, Hammond, IN 46320","Hammond, IN",Central Hammond,Chicago,"
                46320
            ",Office - General Office," 12,000 Sqft",$7 - $11.14/Sqft/Year
"1282 Border Ave, Corona, CA 92882","Corona, CA","
                92882
            ",,Inland Empire,Retail - Strip," 11,600 Sqft",$1.75/Sqft/Month
"315 Catoma St, Montgomery, AL 36104","Montgomery, AL",Downtown Montgomery,,"
                36104
            ",Office - General Office," 1,375 Sqft",$22.5/Month
"647 James Street, Tomball, TX 77375","Tomball, TX","
                77375
            ",,Houston,Office - General Office," 22,100 Sqft",$18/Sqft/Year
"13435 A Street, Omaha, NE 68144","Omaha, NE",Westwood Heights - Montclair,Omaha,"
                68144
            ",Office - Flex - Office," 11,400 Sqft",$7.95/Sqft/Year
"7005 Chase oaks blvd, Plano, TX 75025","Plano, TX",Legends at Chase Oaks,Dallas Fort Worth,"
                75025
            ",Office - General Office," 9,600 Sqft",$25.5/Sqft/Year
"318 South Central Expressway, Richardson, TX 75080","Richardson, TX",Richardson Heights,Dallas Fort Worth,"
                75080
            ",Retail," 17,352 Sqft",$19 - $21/Sqft/Year
"535 N Church St, West Chester, PA 19380","West Chester, PA","
                19380
            ",,Philadelphia,Office," 20,061 Sqft",$950/Month
"3201 South 34th Street, St. Petersburg, FL 33711","St. Petersburg, FL",Clam Bayou,Tampa St Petersburg Clearwater,"
                33711
            ",Office," 60,453 Sqft",$21/Sqft/Year
"1030 Commercial St, San Jose, CA 95112","San Jose, CA",North Valley,Bay Area,"
                95112
            ",Industrial - Warehouse/Distribution," 1.00/ 1,000 SF",$1.15/Sqft/Month
"31-00 47th Avenue, Long Island City, NY 11101","Long Island City, NY",Sunnyside,Queens,"
                11101
            ",Office," 673,049 Sqft",$35 - $50/Sqft/Year
"623 S Luzerne Ave, Baltimore, MD 21224","Baltimore, MD",Canton,Baltimore,"
                21224
            ",Retail - Restaurant," 2,194 Sqft","$5,000/Sqft/Year"
"310 T Elmer Cox Dr, Greeneville, TN 37743","Greeneville, TN","
                37743
            ",,,Industrial - Warehouse/Distribution," 143,500 Sqft",Contact for pricing
"1761 State Hwy 46 S, New Braunfels, TX 78130","New Braunfels, TX",New Braunfels Regional Airport,San Antonio,"
                78130
            ",Retail - Strip," 17,819 Sqft",$21/Sqft/Year
"510 Plaza Dr, College Park, GA 30349","College Park, GA",Terrell Estates,Atlanta,"
                30349
            ",Office - General Office," 48,328 Sqft",Contact for pricing
"6400 Sky Pointe Dr, Las Vegas, NV 89129","Las Vegas, NV",Elkhorn Cimarron Estates,Las Vegas,"
                89129
            ",Retail - Community Center," 4.00/ 1,000 SF",$1.95/Sqft/Month
"2720 S. Washington Ave, Lansing, MI 48910","Lansing, MI","
                48910
            ",,Detroit,Office - Medical Office," 20,050 Sqft",$20/Sqft/Year
"520 Capitol Mall, Sacramento, CA 95814","Sacramento, CA",Downtown Sacramento,Sacramento,"
                95814
            ",Office," 85,176 Sqft",$34.2 - $35.4/Sqft/Year
"4060 N. Dupont Highway, New Castle, DE 19720","New Castle, DE",Wilmington (outside the city),Philadelphia,"
                19720
            ",Industrial - Flex - Industrial," 72,000 Sqft",Contact for pricing
"3510 - 3512 Trindle Road, Camp Hill, PA 17011","Camp Hill, PA",Indian Creek,Harrisburg,"
                17011
            ",Office - General Office," 6,870 Sqft",$15.5/Sqft/Year
"2499 Livernois, Troy, MI 48083","Troy, MI","
                48083
            ",,Detroit,Retail - Street Retail," 23,869 Sqft",Contact for pricing
"114 Grand Avenue Pkwy, Pflugerville, TX 78660","Pflugerville, TX",Cambridge Heights,Austin,"
                78660
            ",Retail - Strip," 22,000 Sqft",$24 - $30/Sqft/Year
"1700 Pennsylvania Ave, Fairfield, CA 94533","Fairfield, CA","
                94533
            ",,Bay Area,Office - General Office," 10,000 Sqft",$1.75/Month
"1156 E Powell Road, Lewis Center, OH 43035","Lewis Center, OH",Lewis Center,Columbus,"
                43035
            ",Retail - Freestanding," 3,250 Sqft",$35 - $40/Sqft/Year
"202 S Route 31, Mchenry, IL 60050","McHenry, IL",McHenry,Chicago,"
                60050
            ",Retail - Freestanding," 4,900 Sqft",$12/Sqft/Year
"15 MANNING AVENUE, MIDDLETON, MA 01949","MIDDLETON, MA",Middleton,Boston,"
                01949
            ",Industrial - Flex - Industrial," 128,100 Sqft",Contact for pricing
"800-828 W Edmond Rd, Edmond, OK 73003","Edmond, OK",Edmond,Oklahoma City,"
                73003
            ",Retail," 86,427 Sqft",$10 - $18/Sqft/Year
"280 Shuman Blvd, Naperville, IL 60563","Naperville, IL",Indian Hill,Chicago,"
                60563
            ",Office - General Office," 69,077 Sqft",$19.75/Sqft/Year
"1220 Siloam Road, Greensboro, GA 30642","Greensboro, GA","
                30642
            ",,,Office - General Office," 4,929 Sqft",$11/Sqft/Year
"2361-2371 Bering Dr, San Jose, CA 95131","San Jose, CA",North San Jose,Bay Area,"
                95131
            ",Industrial," 47,060 Sqft",$25.2/Sqft/Year
"3050 S Gilbert Rd, Chandler, AZ 85286","Chandler, AZ",Circle G Riggs,Phoenix,"
                85286
            ",Retail - Street Retail," 30,133 Sqft",Contact for pricing
"4450 Buckeye Lane, Beavercreek, OH 45432","Beavercreek, OH",Beavercreek,Dayton,"
                45432
            ",Other,"Oct 25, 2021","$911 - $1,700/Month"
"405 Redcliff Drive, Redding, CA 96002","Redding, CA","
                96002
            ",,,Office - General Office," 6,240 Sqft",$1.25/Sqft/Month
"410 Amherst Street, Nashua, NH 03063","Nashua, NH",Nashua Municipal Airport,Boston,"
                03063
            ",Office," 68,255 Sqft",$18/Sqft/Year
"3805 129 F Ave. SW, Belfield, ND 58622","Belfield, ND",Belfield,,"
                58622
            ",Industrial - Flex - Industrial," 15,631 Sqft",Contact for pricing
"7 Dunnell Lane , Pawtucket, RI 02860","Pawtucket, RI",Slater Park,Providence,"
                02860
            ",Industrial - Warehouse/Distribution," 78,414 Sqft",Contact for pricing
"777 Crestwood Rd , Boulevard, CA 91905","Boulevard, CA","
                91905
            ",,San Diego,Industrial - Warehouse/Distribution," 20,000 Sqft","$12,000/Month"
"1121 L Street, Sacramento, CA 95814","Sacramento, CA",Downtown Sacramento,Sacramento,"
                95814
            ",Office," 180,123 Sqft",$80.04/Sqft/Year
"2205 S Eastwood Drive, Woodstock, IL 60098","Woodstock, IL",Woodstock,Chicago,"
                60098
            ",Industrial - Warehouse/Distribution,1992,Contact for pricing
"7617 Little River Turnpike, Annandale, VA 22031","Annandale, VA","
                22031
            ",,Washington DC Suburban Maryland,Office," 82,000 Sqft",$19.5 - $27.5/Sqft/Year
"605 W Knox Rd, Tempe, AZ 85284","Tempe, AZ",Twelve Oaks,Phoenix,"
                85284
            ",Office - General Office," 21,000 Sqft",$23.5 - $24.5/Sqft/Year
"2480-2490 Route 97, Glenwood, MD 21738","Glenwood, MD","
                21738
            ",,Baltimore,Retail - Strip," 40,000 Sqft",$18/Sqft/Year
"Saratoga Blvd, Corpus Christi, TX 78413","Corpus Christi, TX",South Side Corpus Christi,Corpus Christi,"
                78413
            ",Other, 1.69 Acre,"$175,000/Year"
"800 Tower Drive, Troy, MI 48098","Troy, MI","
                48098
            ",,Detroit,Office - General Office," 218,000 Sqft",$19.5 - $20.5/Sqft/Year
"3703 Concord Pike, Wilmington, DE 19803","Wilmington, DE",Wilmington (outside the city),Philadelphia,"
                19803
            ",Retail - Freestanding," 6,880 Sqft",$24/Sqft/Year
"1515 Oakland Blvd., Walnut Creek, CA 94596","Walnut Creek, CA",Overlook,Bay Area,"
                94596
            ",Office - General Office," 14,400 Sqft",Contact for pricing
"110 Country Day Road, Chester, MD 21619","Chester, MD","
                21619
            ",,,Retail - Freestanding," 4,000 Sqft",$17.5/Sqft/Year
"8401 Church St, Gilroy, CA 95020","Gilroy, CA","
                95020
            ",,Bay Area,Retail," 4.00/ 1,000 SF",$0.75 - $1.45/Sqft/Month
"1368 Colusa Hwy, Yuba City, CA 95993","Yuba City, CA","
                95993
            ",,,Retail - Street Retail," 5,000 Sqft",Contact for pricing
"739 S 3rd Street, Columbus, OH 43206","Columbus, OH",German Village,Columbus,"
                43206
            ",Office - General Office," 7,164 Sqft",$15.5/Sqft/Year
"304 SW 16th Street (Suite 6), Bentonville, AR 72712","Bentonville, AR",Commerce Centre - Touchstone,,"
                72712
            ",Office - General Office," 10,144 Sqft",$17/Sqft/Year
"15019-15131 Fondren Road, Houston, TX 77489","Houston, TX",Chasewood,Houston,"
                77489
            ",Industrial - Manufacturing," 53,769 Sqft",Contact for pricing
"6066 Limaburg Road, Burlington, KY 41005","Burlington, KY","
                41005
            ",,Cincinnati,Retail - Strip," 21,240 Sqft","$4,810/Month"
"2000 Esters Rd., Irving, TX 75061","Irving, TX",Townlake,Dallas Fort Worth,"
                75061
            ",Retail - Strip," 23,114 Sqft",Contact for pricing
"4105 & 4125 N Front Street, Harrisburg, PA 17110","Harrisburg, PA",Montrose Park,Harrisburg,"
                17110
            ",Retail - Freestanding," 1,998 Sqft","$3,000/Month"
"4689 US Highway 17, Fleming Island, FL 32003","Fleming Island, FL",Orange Park Acres,Jacksonville,"
                32003
            ",Retail - Strip," 31,349 Sqft",$20/Sqft/Year
"6121 NW 1st Place, Gainesville, FL 32607","Gainesville, FL",Sugarfoot,North Central Florida,"
                32607
            ",Office - Medical Office," 3,940 Sqft",$17/Sqft/Year
"1716 Court Street, Redding, CA 96001","Redding, CA","
                96001
            ",,,Office - General Office," 3,370 Sqft",$0.85 - $0.93/Sqft/Month
"2165 Brighton Henrietta Town Line Road, Rochester, NY 14623","Rochester, NY","
                14623
            ",,Rochester,Office - General Office," 59,037 Sqft",$12/Sqft/Year
"686 Cheney Hwy, Titusville, FL 32780","Titusville, FL","
                32780
            ",,,Retail - Strip," 73,248 Sqft",Contact for pricing
"301 SE Ocean Blvd, Stuart, FL 34994","Stuart, FL",Downtown Stuart,,"
                34994
            ",Office - General Office," 40,858 Sqft",$16.5/Sqft/Year
"1901 South Street, Elgin, IL 60123","Elgin, IL",College Park McIntosh,Chicago,"
                60123
            ",Office - General Office," 44,858 Sqft",$8/Sqft/Year
"1322 N Clybourn, Chicago, IL 60610","Chicago, IL",Old Town Chicago,Chicago,"
                60610
            ",Retail - Street Retail," 1,300 Sqft",$23/Sqft/Year
"3620 I-27, Lubbock, TX 79404","Lubbock, TX",Clapp Park,Lubbock,"
                79404
            ",Office - Medical Office," 4,734 Sqft","$4,000/Month"
"3131 Spring Grove Avenue, Cincinnati, OH 45225","Cincinnati, OH",Camp Washington,Cincinnati,"
                45225
            ",Industrial - Warehouse/Distribution," 147,825 Sqft",Contact for pricing
"6100 West by Northwest Boulevard, Houston, TX 77040","Houston, TX",Fairbanks - Northwest Crossing,Houston,"
                77040
            ",Industrial - Warehouse/Distribution,"Oct 25, 2021",$0.7/Sqft/Year
"7600 Leesburg Pike, Tysons Corner, VA 22043","Tysons Corner, VA",Pimmit Hills,Washington DC Suburban Maryland,"
                22043
            ",Office," 112,000 Sqft",$29/Sqft/Year
"747 Front Street, San Francisco, CA 94111","San Francisco, CA",Financial District - Barbary Coast,San Francisco,"
                94111
            ",Office," 81,800 Sqft",$77/Sqft/Year
"105 N Sandusky Street, Mount Vernon, OH 43050","Mount Vernon, OH","
                43050
            ",,,Industrial - Manufacturing," 17,260 Sqft",$4/Sqft/Year
"900 Skokie Blvd, Northbrook, IL 60062","Northbrook, IL",Northbrook,,"
                60062
            ",Office," 87,900 Sqft",$20 - $21/Sqft/Year
"1860 Blake Street, Denver, CO 80202","Denver, CO",LoDo,Denver,"
                80202
            ",Office," 104,999 Sqft",$25 - $32/Sqft/Year
"521-659 N. Murray Blvd, Colorado Springs, CO 80915","Colorado Springs, CO",Rustic Hills,Denver,"
                80915
            ",Retail," 33,837 Sqft",$10/Sqft/Year
"3451 Washtenaw, Ann Arbor, MI 48104","Ann Arbor, MI",Huron Hills,Detroit,"
                48104
            ",Retail - Freestanding," 9,200 Sqft",$16/Sqft/Year
"8515-31 Park Dr, Ralston, NE 68127","Ralston, NE",Ralston,Omaha,"
                68127
            ",Retail - Street Retail," 14,964 Sqft",$5.5/Sqft/Year
"1802 Nebraska Ave, Toledo, OH 43607","Toledo, OH",Onyx,Toledo,"
                43607
            ",Industrial - Warehouse/Distribution," 140,725 Sqft",$3/Sqft/Year
"4534 Washington Rd, Evans, GA 30809","Evans, GA",Evans,Augusta,"
                30809
            ",Retail - Strip," 27,331 Sqft","$3,850/Month"
"9321 W Thomas Road, Phoenix, AZ 85037","Phoenix, AZ",Maryvale,Phoenix,"
                85037
            ",Office - Medical Office," 60,000 Sqft",$23.5/Sqft/Year
"340 Eastdale Circle, Montgomery, AL 36117","Montgomery, AL",Eastdale,,"
                36117
            ",Retail - Street Retail," 3,796 Sqft","$1,600/Month"
"1475 Saratoga Ave, San Jose, CA 95129","San Jose, CA",West San Jose,Bay Area,"
                95129
            ",Office - General Office," 4.00/ 1,000 SF",$2.95/Sqft/Month
"1320 Texas Ave , Lubbock, TX 79401","Lubbock, TX","
                79401
            ",,Lubbock,Office - General Office," 6,500 Sqft","$1,314 - $3,500/Month"
"16431 Corporate Commerce Way, Fort Myers, FL 33913","Fort Myers, FL",Southwest Florida Airport,Southwest Florida Coast,"
                33913
            ",Retail - Strip," 11,940 Sqft",$40/Sqft/Year
"52nd Ave & Wadsworth Blvd SEC, Arvada, CO 80002","Arvada, CO",Arvada Columbine,Denver,"
                80002
            ",Retail - Street Retail," 1,350 Sqft",Contact for pricing
"1515 Avenue S, Grand Prairie, TX 75050","Grand Prairie, TX",Gables at Green Oaks,Dallas Fort Worth,"
                75050
            ",Office - General Office," 5,033 Sqft",Contact for pricing
"1720 Robins Rd, Hiawatha, IA 52233","Hiawatha, IA",Hiawatha,,"
                52233
            ",Industrial - Warehouse/Distribution," 12,000 Sqft",$5.95/Sqft/Year
"10435-10439 Ortonville Road, Clarkston, MI 48348","Clarkston, MI",Independence,Detroit,"
                48348
            ",Office - General Office," 14,400 Sqft",$6.5 - $15/Sqft/Year
"1700 Newbury Rd, Thousand Oaks, CA 91320","Thousand Oaks, CA",Newbury Park,Los Angeles,"
                91320
            ",Retail - Restaurant," 6,004 Sqft",$3.15/Sqft/Month
"5595 Kietzke Ln , Reno, NV 89511","Reno, NV",Crystal Lake,Reno,"
                89511
            ",Office - General Office,A,"$2,300 - $2,375/Month"
"957 Plum Grove Rd, Schaumburg, IL","Schaumburg, IL",Suburban Chicago,,,Office," 5,295 Sqft",$13 - $15.5/Sqft/Year
"3121 University Drive East, Bryan, TX 77802","Bryan, TX",College Station,Central East Texas,"
                77802
            ",Office - Medical Office,"Oct 25, 2021",$20/Sqft/Year
"852 Lancaster Dr SE, Salem, OR 97317","Salem, OR",Four Corners,Eugene,"
                97317
            ",Office - General Office," 9,170 Sqft",$1.5/Sqft/Month
"745 Forest Avenue, Portland, ME 04103","Portland, ME",Deering Center,Portland ME,"
                04103
            ",Office - General Office," 3,031 Sqft",$22/Sqft/Year
"124 Pearl, Ypsilanti, MI 48197","Ypsilanti, MI","
                48197
            ",,Detroit,Retail - Street Retail," 1,400 Sqft",$16/Sqft/Year
"1228 Folsom Street, San Francisco, CA 94103","San Francisco, CA",South of Market,San Francisco,"
                94103
            ",Office - General Office," 16,500 Sqft",$30/Sqft/Year
"1099 Helmo Avenue N, Oakdale, MN 55128","Oakdale, MN",Oakdale,Minneapolis St Paul,"
                55128
            ",Office - General Office," 28,727 Sqft",$16/Sqft/Year
"1095 Diffley Rd, Eagan, MN 55123","Eagan, MN","
                55123
            ",,Minneapolis St Paul,Retail," 10,632 Sqft",$17/Sqft/Year
"1710 E Indian School Road, Phoenix, AZ 85016","Phoenix, AZ",Camelback East,Phoenix,"
                85016
            ",Office," 25,567 Sqft",$14/Sqft/Year
"4 Smithfield , Pittsburgh, PA 15222","Pittsburgh, PA",Downtown Pittsburgh,Pittsburgh,"
                15222
            ",Office - General Office," 80,000 Sqft",$16.5/Sqft/Year
"1333 N. Main St. , Wheaton, IL 60187","Wheaton, IL",Hawthorne,Chicago,"
                60187
            ",Office - General Office," 5,000 Sqft","$1,250/Month"
"300 West Adams Street, Jacksonville, FL 32202","Jacksonville, FL",Northbank,Jacksonville,"
                32202
            ",Office - General Office," 34,781 Sqft",$18.5/Sqft/Year
"5908 Hillside Heights Dr, Lakeland, FL 33812","Lakeland, FL",Highland City,Tampa St Petersburg Clearwater,"
                33812
            ",Office - General Office," 1,800 Sqft",$17/Sqft/Year
"6350 Rucker Road, Indianapolis, IN 46220","Indianapolis, IN",Devonshire,Indianapolis,"
                46220
            ",Office - Shared Space," 8,368 Sqft",$16 - $18/Sqft/Year
"6055 Boat Rock Boulevard, Atlanta, GA 30336","Atlanta, GA",Westchase Glen,Atlanta,"
                30336
            ",Industrial - Warehouse/Distribution," 49,985 Sqft",$4.25/Sqft/Year
"1 SW 11th St, Lawton, OK 73501","Lawton, OK",Lawton,Oklahoma City,"
                73501
            ",Office - General Office," 51,100 Sqft",$21.5/Sqft/Year
"125 E Indiana Ave, Deland, FL 32724","Deland, FL",DeLand,North Central Florida,"
                32724
            ",Office," 6,046 Sqft",$16/Sqft/Year
"301 Lindenwood Drive, Malvern, PA 19355","Malvern, PA",Malvern,Philadelphia,"
                19355
            ",Office," 97,000 Sqft",$28/Sqft/Year
"655 Peachtree Industrial Boulevard - Building 200, Buford, GA 30518","Buford, GA",Sugar Hill,Atlanta,"
                30518
            ",Industrial - Warehouse/Distribution," 352,148 Sqft",$5.5/Sqft/Year
"211 Gibson St, Leesburg, VA 20176","Leesburg, VA",Downtown Leesburg,Washington DC Suburban Maryland,"
                20176
            ",Office - General Office," 39,050 Sqft",$26.5/Sqft/Year
"2226 Oak Grove Rd, Walnut Creek, CA 94598","Walnut Creek, CA",Woodlands,Bay Area,"
                94598
            ",Retail - Neighborhood Center," 4.90/ 1,000 SF",$3.5/Sqft/Month
"53 Wooster Street, New York, NY 10013","New York, NY",SoHo,Manhattan,"
                10013
            ",Mixed Use," 4,900 Sqft",Contact for pricing
"37 Pearl Street , Enfield, CT 06082","Enfield, CT",Thompsonville,Bridgeport New Haven,"
                06082
            ",Retail - Street Retail," 7,326 Sqft","$500 - $2,000/Month"
"85 Stewart Drive, Edgewater, MD 21037","Edgewater, MD","
                21037
            ",,Baltimore,Retail - Freestanding," 2,880 Sqft",Contact for pricing
"8765 W Kelton Lane, Bldg C-2, Peoria, AZ 85382","Peoria, AZ",Arrowhead Shores,Phoenix,"
                85382
            ",Office - General Office," 5,458 Sqft",$19 - $22/Sqft/Year
"525 N Baer St, Mcpherson, KS 67460","McPherson, KS","
                67460
            ",,,Industrial - Flex - Industrial," 5,928 Sqft","$2,800/Month"
"8100 Cameron Rd, Austin, TX 78754","Austin, TX",Heritage Hills,Austin,"
                78754
            ",Office - General Office," 40,000 Sqft",$16 - $20/Sqft/Year
"16 North Marengo Avenue, Pasadena, CA 91101","Pasadena, CA",Playhouse District,Los Angeles,"
                91101
            ",Office," 53,000 Sqft",$43.8 - $46.2/Sqft/Year
"11250 Lebanon Road, Cincinnati, OH 45241","Cincinnati, OH",Sharonville,Cincinnati,"
                45241
            ",Office - General Office," 8,416 Sqft",$18/Sqft/Year
"840 United Ave SE, Atlanta, GA 30312","Atlanta, GA",Grant Park,Atlanta,"
                30312
            ",Office - Creative Office," 2,297 Sqft",$18/Sqft/Year
"200 Carmichael Way, Chesapeake, VA 23322","Chesapeake, VA",Edinburgh,Richmond Tidewater,"
                23322
            ",Retail - Strip," 13,141 Sqft",Contact for pricing
"1411A Industrial Road, San Carlos, CA 94070","San Carlos, CA",San Carlos,San Francisco,"
                94070
            ",Industrial - Flex - Industrial," 30,000 Sqft",$2.51/Sqft/Month
"5905 S Virginia St, Reno, NV 89509","Reno, NV",Southwest Reno,Reno,"
                89509
            ",Office - General Office," 4.00/ 1,000 SF",$1.85/Sqft/Month
"580 White Plains Road, Tarrytown, NY 10591","Tarrytown, NY","
                10591
            ",,White Plains,Office," 170,050 Sqft",$28 - $31/Sqft/Year
"113 SE 22nd St , Bentonville, AR 72712","Bentonville, AR",Werts,,"
                72712
            ",Office - General Office," 2,000 Sqft",$14.75/Sqft/Year
"995 Fairmount Avenue, Jamestown, NY 14701","Jamestown, NY",Jamestown West,,"
                14701
            ",Retail - Restaurant," 2,359 Sqft",$19.5/Sqft/Year
"479 S Randall Rd, North Aurora, IL 60542","North Aurora, IL",Randall Highlands,Chicago,"
                60542
            ",Retail - Strip," 10,650 Sqft",$18/Sqft/Year
"5806 Baldwin Lane, Williston, ND 58801","Williston, ND","
                58801
            ",,,Industrial - Warehouse/Distribution," 15,000 Sqft",$16/Sqft/Year
"490 Post Street, Suite 1700, San Francisco, CA 94102","San Francisco, CA",Downtown District 8 - North East,San Francisco,"
                94102
            ",Office - Medical Office," 2,317 Sqft",$5.25/Sqft/Month
"307 E Caldwell Avenue, Visalia, CA 93277","Visalia, CA",Togni Towne Centre,Central Valley,"
                93277
            ",Office - General Office," 3,900 Sqft",$1.85/Sqft/Month
"2910 W Montrose, Chicago, IL 60618","Chicago, IL",Ravenswood Manor,Chicago,"
                60618
            ",Retail - Street Retail," 6,764 Sqft",$25/Sqft/Year
"1105 Via Verde, San Dimas, CA 91773","San Dimas, CA",San Dimas,Los Angeles,"
                91773
            ",Office," 10,696 Sqft",Contact for pricing
"1319 FM 1960 Road West, Houston, TX 77090","Houston, TX",Westfield Landing,,"
                77090
            ",Retail - Community Center," 82,807 Sqft",$15/Sqft/Year
"4617 Lake Road, Brockport, NY 14420","Brockport, NY","
                14420
            ",,Rochester,Retail - Freestanding," 5,714 Sqft",Contact for pricing
"16 Washington Street, Valparaiso, IN 46383","Valparaiso, IN","
                46383
            ",,Chicago,Retail - Street Retail," 11,511 Sqft",$15/Sqft/Year
"1545 Hicks Rd, Rolling Meadows, IL 60008","Rolling Meadows, IL","
                60008
            ",,Chicago,Office - Medical Office," 7,800 Sqft",$13.5/Sqft/Year
"7097 US-31 S, Calera, AL 35040","Calera, AL",Calera,Birmingham,"
                35040
            ",Retail - Strip," 1,800 Sqft",Contact for pricing
"5026 Broadway , Depew, NY 14043","Depew, NY","
                14043
            ",,Buffalo,Retail - Freestanding," 4,390 Sqft","$1,400/Month"
"8000-8110 South 84th Street, La Vista, NE 68046","La Vista, NE",Willow Brook,Omaha,"
                68046
            ",Retail - Strip," 224,187 Sqft",$9/Sqft/Year
"3095 Independence Dr Bldg B, Livermore, CA 94550","Livermore, CA",Livermore Airport,Bay Area,"
                94550
            ",Office - Flex - Office," 3.80/ 1,000 SF",$1.85/Sqft/Month
"7646 Touhy, Chicago, IL 60631","Chicago, IL",Edison Park,Chicago,"
                60631
            ",Retail - Street Retail," 10,000 Sqft","$3,500/Month"
"15 Pacella Park Dr, Randolph, MA 02368","Randolph, MA",Randolph,Boston,"
                02368
            ",Office - General Office," 55,035 Sqft",Contact for pricing
"804 S Douglas Rd, Coral Gables, FL 33134","Coral Gables, FL",Douglas,Miami,"
                33134
            ",Office," 70,303 Sqft",$38/Sqft/Year
"384 Inverness Parkway, Englewood, CO 80112","Englewood, CO",Inverness,Denver,"
                80112
            ",Office," 51,523 Sqft",$24/Sqft/Year
"3368 E Railroad Ave, Bamberg, SC 29003","Bamberg, SC","
                29003
            ",,,Retail - Restaurant," 3,100 Sqft",Contact for pricing
"5401-5415 Beacon Drive, Irondale, AL 35210","Irondale, AL",Crestline Holiday Gardens,Birmingham,"
                35210
            ",Retail," 228,075 Sqft",$12 - $14/Sqft/Year
"1001 N Holland Sylvania Road, Toledo, OH 43615","Toledo, OH",Reynolds Corners,Toledo,"
                43615
            ",Office - Flex - Office," 10,484 Sqft",$10/Sqft/Year
"2121 Airpark Drive, Redding, CA 96001","Redding, CA","
                96001
            ",,,Office - Medical Office," 2,354 Sqft",$1.6/Sqft/Month
"Massachusetts and 98th Ave, Merrillville, IN 46410","Merrillville, IN","
                46410
            ",,Chicago,Industrial - Flex - Industrial," 54,800 Sqft",$8 - $12/Sqft/Year
"1860 North Milwaukee Avenue, Chicago, IL 60647","Chicago, IL",Bucktown,Chicago,"
                60647
            ",Retail - Freestanding," 4,400 Sqft",Contact for pricing
"16690 Cedar Avenue, Rosemount, MN 55068","Rosemount, MN","
                55068
            ",,Minneapolis St Paul,Retail - Strip," 9,852 Sqft","$2,500/Month"
"9809 E. Orme, Wichita, KS 67207","Wichita, KS",Harrison Park,Wichita,"
                67207
            ",Other," 27,000 Sqft",$6.5/Sqft/Year
"44 South Broadway, White Plains, NY 10601","White Plains, NY",White Plains Central Business District,White Plains,"
                10601
            ",Office," 850,198 Sqft",Contact for pricing
"1951 Kidwell Drive, Tysons Corner, VA 22182","Tysons Corner, VA",Vienna (outside of town),Washington DC Suburban Maryland,"
                22182
            ",Office," 160,000 Sqft",$30/Sqft/Year
"811 Wilshire Boulevard, Los Angeles, CA 90017","Los Angeles, CA",Downtown Los Angeles,Los Angeles,"
                90017
            ",Office," 326,000 Sqft",$36 - $38.04/Sqft/Year
